策略名称,回测开始,回测结束,本金,回测耗时,策略收益,策略年化收益,超额收益,基准收益,阿尔法,贝塔,夏普比率,胜率,盈亏比,最大回撤,索提诺比率,日均超额收益,超额收益最大回撤,超额收益夏普比率,日胜率,盈利次数,亏损次数,信息比率,策略波动率,基准波动率,最大回撤区间,综合分,夏普分,回撤分,信息比率分,年化分,胜率分,盈亏比分,交易次数分,阿尔法分,索提诺分,下单时段分,打分细节
2024_1_origin_py/14.四年多翻9倍，年化73%，成长因子评分筛选,2023/9/1,2026/2/21,200000,,125.84%,40.82%,56.18%,44.61%,0.254,0.898,1.007,0.559,2.623,45.39%,1.281,0.09%,40.24%,0.557,0.518,52,41,0.805,0.366,0.236,"2023/09/27,2024/02/07",54.4,45,30,45,35,82,90,72,50,55,100,夏普:45 回撤:30 信息比率:45 年化:35 胜率:82 盈亏比:90 交易次数:72 阿尔法:50 索提诺:55 下单时段:100
2024_1_origin_py/1.差不多得了,2023/9/1,2026/2/21,200000,,123.41%,40.18%,54.49%,44.61%,0.263,0.777,1.011,0.611,1.935,39.87%,1.218,0.09%,40.85%,0.519,0.529,116,74,0.751,0.358,0.236,"2024/01/26,2024/02/07",46.7,45,45,45,35,88,65,88,50,55,0,夏普:45 回撤:45 信息比率:45 年化:35 胜率:88 盈亏比:65 交易次数:88 阿尔法:50 索提诺:55 下单时段:0
2025_origin_py/84正黄旗大妈选股改进-加入涨停卖出后的买入，提高资金利用率,2023/9/1,2026/2/21,200000,02分39秒,120.62%,39.44%,52.56%,44.61%,0.253,0.792,1.044,0.636,3.482,36.58%,1.296,0.09%,34.87%,0.539,0.545,84,48,0.789,0.339,0.236,"2023/11/28,2024/02/07",48.9,47,45,45,35,88,100,82,50,55,0,夏普:47 回撤:45 信息比率:45 年化:35 胜率:88 盈亏比:100 交易次数:82 阿尔法:50 索提诺:55 下单时段:0
2024_1_origin_py/11.低价小盘简单有效,2023/9/1,2026/2/21,200000,02分14秒,118.78%,38.95%,51.29%,44.61%,0.249,0.784,0.948,0.652,2.353,50.34%,1.225,0.09%,48.47%,0.468,0.546,131,70,0.688,0.368,0.236,"2024/01/09,2024/06/24",42.1,43,15,45,35,92,80,92,50,55,0,夏普:43 回撤:15 信息比率:45 年化:35 胜率:92 盈亏比:80 交易次数:92 阿尔法:50 索提诺:55 下单时段:0
2024_2_origin_py/23.低价小盘简单有效,2023/9/1,2026/2/21,200000,02分26秒,118.78%,38.95%,51.29%,44.61%,0.249,0.784,0.948,0.652,2.353,50.34%,1.225,0.09%,48.47%,0.468,0.546,131,70,0.688,0.368,0.236,"2024/01/09,2024/06/24",42.1,43,15,45,35,92,80,92,50,55,0,夏普:43 回撤:15 信息比率:45 年化:35 胜率:92 盈亏比:80 交易次数:92 阿尔法:50 索提诺:55 下单时段:0
2024_1_origin_py/13.5年15倍的收益，年化79.93%，可实盘，拿走不谢！,2023/9/1,2026/2/21,200000,,118.72%,38.94%,76.71%,23.77%,0.299,0.94,0.856,0.661,2.694,49.63%,0.984,0.12%,49.90%,0.617,0.566,84,43,0.791,0.408,0.176,"2024/01/04,2024/02/07",43.0,39,30,45,35,92,90,82,50,30,0,夏普:39 回撤:30 信息比率:45 年化:35 胜率:92 盈亏比:90 交易次数:82 阿尔法:50 索提诺:30 下单时段:0
2025_origin_py/3、5年15倍的收益，年化79.93，可实盘，拿走不谢！,2023/9/1,2026/2/21,200000,12分52秒,118.72%,38.94%,76.71%,23.77%,0.299,0.94,0.856,0.661,2.694,49.63%,0.984,0.12%,49.90%,0.617,0.566,84,43,0.791,0.408,0.176,"2024/01/04,2024/02/07",43.0,39,30,45,35,92,90,82,50,30,0,夏普:39 回撤:30 信息比率:45 年化:35 胜率:92 盈亏比:90 交易次数:82 阿尔法:50 索提诺:30 下单时段:0
2025_origin_py/80基本面01加RSI择时,2023/9/1,2026/2/21,200000,,117.98%,38.74%,76.11%,23.77%,0.309,0.711,1.005,0.659,2.787,47.52%,1.148,0.12%,47.47%,0.701,0.55,141,73,0.901,0.345,0.176,"2024/01/04,2024/02/07",46.0,45,30,45,35,92,90,92,50,55,0,夏普:45 回撤:30 信息比率:45 年化:35 胜率:92 盈亏比:90 交易次数:92 阿尔法:50 索提诺:55 下单时段:0
2025_origin_py/69“稳定摸狗策略”学习笔记,2023/9/1,2026/2/21,200000,00分15秒,116.02%,38.21%,74.53%,23.77%,0.303,0.735,1.265,0.52,2.412,19.97%,1.726,0.11%,17.03%,0.929,0.518,26,24,1.19,0.271,0.176,"2024/10/08,2024/11/18",56.9,56,78,65,35,72,80,60,50,72,0,夏普:56 回撤:78 信息比率:65 年化:35 胜率:72 盈亏比:80 交易次数:60 阿尔法:50 索提诺:72 下单时段:0
2025_origin_py/14安全摸狗策略,2023/9/1,2026/2/21,200000,,116.02%,38.21%,74.53%,23.77%,0.303,0.735,1.264,0.489,2.41,19.98%,1.725,0.11%,17.04%,0.929,0.519,23,24,1.19,0.271,0.176,"2024/10/08,2024/11/18",55.3,56,78,65,35,60,80,45,50,72,0,夏普:56 回撤:78 信息比率:65 年化:35 胜率:60 盈亏比:80 交易次数:45 阿尔法:50 索提诺:72 下单时段:0
2024_2_origin_py/22.菜场大妈选股法,2023/9/1,2026/2/21,200000,01分38秒,115.84%,38.16%,49.26%,44.61%,0.251,0.71,1.058,0.742,4.835,39.19%,1.284,0.08%,38.17%,0.508,0.56,69,24,0.752,0.323,0.236,"2024/01/04,2024/02/07",48.6,47,45,45,35,88,100,72,50,55,0,夏普:47 回撤:45 信息比率:45 年化:35 胜率:88 盈亏比:100 交易次数:72 阿尔法:50 索提诺:55 下单时段:0
